iter	Logloss
0	0.6279662575
1	0.5779613351
2	0.5421936959
3	0.5137357786
4	0.4915024575
5	0.4746134303
6	0.4626621931
7	0.4522618784
8	0.445107764
9	0.4370996311
10	0.4312863308
11	0.4261131854
12	0.4210770042
13	0.4176057056
14	0.4144410148
15	0.4119433629
16	0.4095820029
17	0.4088614607
18	0.4070055999
19	0.4047313135
20	0.4032694531
21	0.4019651015
22	0.4002722676
23	0.3995645593
24	0.3981688146
25	0.3967820118
26	0.3961160167
27	0.3952327976
28	0.3937113789
29	0.392436138
30	0.391591844
31	0.3906680501
32	0.3899179021
33	0.3892254384
34	0.3885765275
35	0.3877182325
36	0.3873077703
37	0.3865326526
38	0.3854756237
39	0.3843214191
40	0.3835327551
41	0.3827359931
42	0.382004127
43	0.3814183321
44	0.3809758411
45	0.3798296358
46	0.3793063992
47	0.3784367267
48	0.3779040066
49	0.3772167646
50	0.3765875676
51	0.3765007098
52	0.3761517394
53	0.3755879303
54	0.3750766137
55	0.374970984
56	0.3746744341
57	0.3738848347
58	0.3734662022
59	0.3728311555
60	0.3724911681
61	0.3716194838
62	0.3709305709
63	0.370309532
64	0.3698615757
65	0.369502828
66	0.3691588967
67	0.3685838334
68	0.3683161452
69	0.3675813708
70	0.3673678606
71	0.3671408875
72	0.3664228391
73	0.365696671
74	0.3648609678
75	0.3640998686
76	0.363686759
77	0.3632866008
78	0.3623552618
79	0.361939646
80	0.3615439488
81	0.3610453821
82	0.360660105
83	0.3603030579
84	0.3598848337
85	0.3588108839
86	0.3582244837
87	0.3576285522
88	0.3571515242
89	0.3563928001
90	0.3555713671
91	0.3549319484
92	0.3544761028
93	0.3538611265
94	0.3533265801
95	0.352854027
96	0.3521886988
97	0.3517035154
98	0.3513614407
99	0.3507956716
100	0.3500771514
101	0.349650383
102	0.3492343914
103	0.3485517658
104	0.3478106622
105	0.3473364148
106	0.3466809116
107	0.3461774609
108	0.3453108681
109	0.3441506804
110	0.3434221062
111	0.3430980444
112	0.3426771901
113	0.3420371259
114	0.3415711905
115	0.3405322279
116	0.3401198674
117	0.3394171423
118	0.3389417287
119	0.3383253608
120	0.3376065645
121	0.3371180741
122	0.3364865741
123	0.3355156075
124	0.3344796323
125	0.3337990194
126	0.3334400897
127	0.3327518414
128	0.3325968458
129	0.3321178356
130	0.3315265291
131	0.3308681159
132	0.3302450375
133	0.3298353736
134	0.3290582377
135	0.3286284952
136	0.3278626167
137	0.3273858721
138	0.3267239944
139	0.3261825121
140	0.3257105295
141	0.325290338
142	0.3247996405
143	0.3243457594
144	0.3239175593
145	0.3234578585
146	0.3229899113
147	0.3222821868
148	0.3214739003
149	0.3209675832
150	0.3205501128
151	0.3197720407
152	0.3191561155
153	0.3185561873
154	0.3178584276
155	0.3174254802
156	0.3171694775
157	0.3166008659
158	0.3158831644
159	0.3155911499
160	0.3153825595
161	0.3148873084
162	0.3142635131
163	0.3134483611
164	0.3128282602
165	0.3118703198
166	0.3113896879
167	0.3107197589
168	0.310093507
169	0.3096117733
170	0.3092133608
171	0.3085897015
172	0.3079219254
173	0.3070295013
174	0.3063788652
175	0.3059833597
176	0.3057321348
177	0.3052984106
178	0.3046427054
179	0.3043926693
180	0.3039867994
181	0.3035109074
182	0.3030429249
183	0.3026511214
184	0.3021982083
185	0.3018559828
186	0.3011681415
187	0.3005530672
188	0.3003284682
189	0.3000195148
190	0.299309058
191	0.2986304066
192	0.2984814362
193	0.2980061632
194	0.2975671776
195	0.2973677903
196	0.2968505763
197	0.2963950867
198	0.2959204534
199	0.2953073229
200	0.2948665481
201	0.2947792449
202	0.2939974789
203	0.293489239
204	0.2931738377
205	0.2929772318
206	0.2925175633
207	0.2922138446
208	0.2918397258
209	0.2913009473
210	0.2911274165
211	0.2907992605
212	0.2902920134
213	0.2899445386
214	0.2893573346
215	0.2890046114
216	0.2888103933
217	0.28861911
218	0.2883865167
219	0.2877845793
220	0.28733145
221	0.2868468577
222	0.2865308547
223	0.28617901
224	0.2855096827
225	0.2851066787
226	0.2846847673
227	0.2843505781
228	0.2838574541
229	0.2836218113
230	0.2831097935
231	0.2825445381
232	0.2821701897
233	0.2814464657
234	0.2811049745
235	0.2808320171
236	0.2805121827
237	0.2800281931
238	0.2795773097
239	0.2789963843
240	0.2786470691
241	0.2782713561
242	0.2779079412
243	0.2776344136
244	0.2773043871
245	0.2771267224
246	0.2767520661
247	0.2763263632
248	0.2760361712
249	0.2757490897
250	0.2756011745
251	0.2750588178
252	0.274679971
253	0.2743156242
254	0.2740838048
255	0.273573385
256	0.2731904281
257	0.2729261659
258	0.2725094039
259	0.2721612196
260	0.2719365319
261	0.271734186
262	0.2713685551
263	0.2712212669
264	0.2709923283
265	0.2704768572
266	0.2701322095
267	0.2697793115
268	0.2693902743
269	0.2691012767
270	0.2686349376
271	0.2682344534
272	0.2678396796
273	0.2673138799
274	0.267101463
275	0.2668478849
276	0.2663452611
277	0.2661205716
278	0.2657293789
279	0.265137185
280	0.2647349305
281	0.2643484033
282	0.264210458
283	0.2640302948
284	0.2639264918
285	0.2634818209
286	0.2629759745
287	0.2628022477
288	0.2625706548
289	0.2619515669
290	0.2616529766
291	0.2612509965
292	0.2611576937
293	0.2608961704
294	0.2606200044
295	0.2601448904
296	0.2596474997
297	0.2593120914
298	0.2590897535
299	0.2584641268
