iter	Passed	Remaining
0	175	52443
1	184	27562
2	195	19344
3	206	15252
4	217	12846
5	227	11166
6	239	10015
7	249	9102
8	255	8255
9	266	7738
10	277	7293
11	291	6998
12	304	6716
13	315	6448
14	326	6195
15	334	5939
16	343	5725
17	348	5467
18	358	5295
19	366	5125
20	375	4989
21	385	4867
22	394	4748
23	404	4649
24	414	4560
25	425	4488
26	437	4428
27	448	4356
28	456	4264
29	463	4168
30	470	4079
31	477	3997
32	483	3915
33	487	3814
34	490	3716
35	494	3626
36	498	3542
37	501	3457
38	505	3383
39	510	3318
40	516	3260
41	520	3197
42	525	3140
43	530	3086
44	534	3031
45	539	2976
46	544	2929
47	548	2880
48	553	2834
49	557	2789
50	562	2747
51	565	2698
52	570	2659
53	576	2627
54	609	2715
55	615	2683
56	627	2673
57	645	2692
58	653	2670
59	659	2638
60	664	2603
61	668	2565
62	671	2526
63	675	2490
64	680	2460
65	684	2428
66	689	2397
67	693	2365
68	696	2331
69	700	2300
70	704	2272
71	709	2245
72	712	2215
73	715	2184
74	718	2155
75	722	2130
76	726	2103
77	729	2077
78	733	2051
79	736	2025
80	741	2005
81	745	1981
82	750	1962
83	756	1945
84	762	1927
85	768	1913
86	774	1897
87	779	1878
88	785	1861
89	791	1847
90	794	1825
91	797	1803
92	804	1791
93	810	1775
94	815	1759
95	822	1747
96	827	1732
97	834	1720
98	841	1707
99	847	1694
100	853	1680
101	858	1666
102	863	1652
103	869	1638
104	874	1624
105	879	1609
106	885	1596
107	891	1585
108	898	1574
109	904	1562
110	909	1549
111	916	1538
112	922	1526
113	928	1515
114	934	1503
115	940	1491
116	946	1480
117	953	1470
118	958	1458
119	965	1447
120	971	1436
121	978	1428
122	985	1418
123	991	1407
124	1004	1406
125	1014	1400
126	1021	1391
127	1029	1383
128	1036	1373
129	1044	1365
130	1051	1355
131	1056	1344
132	1062	1334
133	1066	1321
134	1071	1310
135	1078	1300
136	1083	1289
137	1088	1278
138	1094	1267
139	1099	1256
140	1103	1244
141	1109	1234
142	1115	1224
143	1120	1214
144	1129	1207
145	1135	1197
146	1143	1189
147	1158	1189
148	1169	1185
149	1180	1180
150	1196	1180
151	1206	1174
152	1218	1171
153	1224	1161
154	1228	1149
155	1232	1137
156	1236	1126
157	1239	1114
158	1243	1102
159	1247	1091
160	1252	1081
161	1257	1070
162	1260	1059
163	1264	1048
164	1267	1036
165	1271	1026
166	1274	1014
167	1279	1005
168	1284	995
169	1289	986
170	1294	976
171	1299	967
172	1305	958
173	1309	948
174	1314	939
175	1319	929
176	1324	920
177	1329	911
178	1371	926
179	1380	920
180	1391	914
181	1401	908
182	1410	901
183	1420	895
184	1430	889
185	1440	882
186	1451	877
187	1461	870
188	1476	867
189	1491	863
190	1506	859
191	1520	855
192	1538	853
193	1551	847
194	1563	841
195	1575	836
196	1587	830
197	1599	824
198	1613	818
199	1625	812
200	1635	805
201	1644	797
202	1654	790
203	1662	782
204	1667	772
205	1670	762
206	1675	752
207	1678	742
208	1682	732
209	1685	722
210	1689	712
211	1693	703
212	1697	693
213	1701	683
214	1706	674
215	1711	665
216	1716	656
217	1721	647
218	1726	638
219	1730	629
220	1734	619
221	1739	611
222	1743	602
223	1748	593
224	1754	584
225	1759	576
226	1764	567
227	1770	559
228	1775	550
229	1780	541
230	1785	533
231	1790	524
232	1795	516
233	1800	507
234	1805	499
235	1810	490
236	1815	482
237	1820	474
238	1824	465
239	1828	457
240	1833	448
241	1838	440
242	1842	432
243	1847	423
244	1852	415
245	1856	407
246	1860	399
247	1864	391
248	1869	382
249	1873	374
250	1878	366
251	1882	358
252	1887	350
253	1891	342
254	1895	334
255	1900	326
256	1904	318
257	1907	310
258	1912	302
259	1917	294
260	1922	287
261	1928	279
262	1934	272
263	1939	264
264	1944	256
265	1950	249
266	1956	241
267	1961	234
268	1968	226
269	1974	219
270	1980	211
271	1987	204
272	1994	197
273	1998	189
274	2002	182
275	2008	174
276	2016	167
277	2024	160
278	2031	152
279	2038	145
280	2044	138
281	2051	130
282	2057	123
283	2063	116
284	2069	108
285	2075	101
286	2082	94
287	2087	86
288	2096	79
289	2101	72
290	2107	65
291	2113	57
292	2119	50
293	2125	43
294	2130	36
295	2136	28
296	2143	21
297	2148	14
298	2155	7
299	2160	0
